Source,Destination,Date,Open,High,Low,Close,Adj Close
USD,EUR,02/05/2022,0.949130407,0.946279701,0.952020091,0.949130407,0.949130407
USD,EUR,03/05/2022,0.951559892,0.945389571,0.952890068,0.951559892,0.951559892
USD,EUR,04/05/2022,0.94980021,0.946399706,0.951789936,0.94980021,0.94980021
USD,EUR,05/05/2022,0.941399748,0.939849624,0.951960277,0.941399748,0.941399748
USD,EUR,06/05/2022,0.948790008,0.943539538,0.953709788,0.948790008,0.948790008
USD,EUR,09/05/2022,0.949470148,0.945879607,0.95269035,0.949470148,0.949470148
USD,EUR,10/05/2022,0.946449867,0.944659932,0.949910281,0.946449867,0.946449867
USD,EUR,11/05/2022,0.949399837,0.945570146,0.951740114,0.949399837,0.949399837
USD,EUR,12/05/2022,0.951250323,0.949690164,0.963990148,0.951250323,0.951250323
USD,EUR,13/05/2022,0.96343012,0.959750004,0.965999708,0.96343012,0.96343012
USD,EUR,16/05/2022,0.961480218,0.958039774,0.962339794,0.961480218,0.961480218
USD,EUR,17/05/2022,0.957949834,0.947529601,0.958550365,0.957949834,0.957949834
USD,EUR,18/05/2022,0.948059606,0.946600379,0.953069886,0.948059606,0.948059606
USD,EUR,19/05/2022,0.954859951,0.943569808,0.955470306,0.954859951,0.954859951
USD,EUR,20/05/2022,0.945269823,0.943500367,0.948670296,0.945269823,0.945269823
USD,EUR,23/05/2022,0.946089905,0.935430069,0.946190165,0.946089905,0.946089905
USD,EUR,24/05/2022,0.936149896,0.930550244,0.937910336,0.936149896,0.936149896
USD,EUR,25/05/2022,0.931399624,0.931399624,0.939490251,0.931399624,0.931399624
USD,EUR,26/05/2022,0.935750439,0.932080245,0.937690468,0.935750439,0.935750439
USD,EUR,27/05/2022,0.931710294,0.928930327,0.934749791,0.931710294,0.931710294
USD,EUR,30/05/2022,0.931839656,0.927199967,0.932189723,0.931839656,0.931839656
USD,EUR,31/05/2022,0.928200016,0.928080275,0.936140256,0.928200016,0.928200016
USD,EUR,01/06/2022,0.931609607,0.931390081,0.940579811,0.931609607,0.931609607
USD,EUR,02/06/2022,0.938599628,0.931229624,0.939349932,0.938599628,0.938599628
USD,EUR,03/06/2022,0.930139977,0.928900127,0.933999836,0.930139977,0.930139977
